date,open,high,low,close,volume
2017-04-05,228.4362,229.5288,226.7732,227.0052,108800604
2017-04-06,227.1599,228.2235,226.662,227.6434,69135757
2017-04-07,227.363,228.1848,226.8699,227.4113,74386480
2017-04-10,227.566,228.4314,226.9569,227.5467,67615302
2017-04-11,227.1213,227.392,225.6129,227.276,88045276
2017-04-12,226.9666,227.1793,226.0287,226.2801,81864436
2017-04-13,225.903,226.7248,224.8104,224.8104,92880394
2017-04-17,225.3905,226.8022,225.1681,226.8022,68405367
2017-04-18,225.9803,226.7248,225.3615,226.1254,83225821
2017-04-19,226.7538,227.1696,225.4582,225.7096,68699868
2017-04-20,226.3961,228.035,226.0383,227.5467,92572186
2017-04-21,227.4597,227.5177,226.3768,226.8215,110389847
2017-04-24,229.3258,229.5481,226.7952,229.3161,119209877
2017-04-25,230.0316,231.0371,229.9349,230.6504,76698265
2017-04-26,230.6117,231.5979,230.457,230.5054,84702455
2017-04-27,230.8631,231.0371,230.0993,230.6987,57410326
2017-04-28,230.9888,231.0178,230.0509,230.196,63532845
2017-05-01,230.7761,231.2499,230.3071,230.7761,66882521
2017-05-02,230.9308,231.0661,230.4087,230.8631,57375732
2017-05-03,230.399,230.967,229.8285,230.5827,73137731
2017-05-04,230.9211,231.0105,229.9059,230.8534,61443570
2017-05-05,231.2692,231.7816,230.7761,231.7623,62001269
2017-05-08,231.8106,231.975,231.2499,231.7236,48385730
2017-05-09,232.0137,232.2361,231.1242,231.5109,51363200
2017-05-10,231.4626,231.9267,231.2305,231.9267,54293799
2017-05-11,231.4239,231.6366,230.2443,231.4529,62358346
2017-05-12,231.1725,231.4986,230.7664,231.0661,53912730
2017-05-15,231.5399,232.4778,231.5206,232.3424,61918937
2017-05-16,232.6712,232.7002,231.6946,232.1297,51241791
2017-05-17,230.2153,230.7374,227.9431,228.0108,172174107
2017-05-18,227.9238,229.8769,227.6337,228.9293,107047656
2017-05-19,229.4708,231.1628,229.4128,230.4183,115011373
2017-05-22,230.9888,231.772,230.9114,231.5883,61010602
2017-05-23,232.004,232.2844,231.5786,232.1007,48341683
2017-05-24,232.3618,232.7582,231.9847,232.6422,49181099
2017-05-25,233.2126,234.0635,232.9806,233.7541,64071661
2017-05-26,233.5414,233.8894,233.4544,233.7057,46629905
2017-05-30,233.348,233.7831,233.174,233.5027,35201897
2017-05-31,233.8314,233.8701,232.6712,233.4447,91796016
2017-06-01,233.9571,235.3204,233.6381,235.3011,68962024
2017-06-02,235.3591,236.2583,235.0304,236.0843,88666128
2017-06-05,235.8909,236.21,235.6879,235.9102,44698825
2017-06-06,235.2818,235.9006,235.0691,235.1561,50375430
2017-06-07,235.5332,235.8426,234.7887,235.5912,54144311
2017-06-08,235.6975,236.239,235.1174,235.7072,65950691
2017-06-09,236.0069,236.8965,233.9378,235.3494,132256362
2017-06-12,235.0787,235.3591,234.3536,235.3011,86108102
2017-06-13,235.9006,236.5097,235.5137,236.4517,60066953
2017-06-14,236.7514,236.7611,235.2334,236.152,78602311
2017-06-15,234.6436,235.8329,234.3342,235.6975,66464888
2017-06-16,235.8753,235.9336,234.7713,235.749,84553097
2017-06-19,236.6721,237.7797,236.5652,237.7117,65123802
2017-06-20,237.3133,237.323,236.0891,236.1085,56906368
2017-06-21,236.5069,236.6721,235.5256,236.0502,55977569
2017-06-22,236.0599,236.6138,235.749,235.9434,44148059
2017-06-23,236.0114,236.5943,235.5839,236.2251,66986801
2017-06-26,236.9733,237.4396,236.1425,236.3806,56700477
2017-06-27,236.1377,236.468,234.4568,234.4762,82247666
2017-06-28,235.613,236.7935,235.3507,236.5749,70042599
2017-06-29,236.7401,236.7984,233.1403,234.4957,106949719
2017-06-30,235.3993,235.817,234.7143,234.9329,86820694
2017-07-03,235.9822,236.468,235.3312,235.3312,39153806
2017-07-05,235.7393,236.1085,234.8357,235.8753,54427596
2017-07-06,235.0203,235.1564,233.5144,233.7184,66115317
2017-07-07,234.3596,235.3993,233.7325,235.2341,57972268
2017-07-10,235.0786,235.9045,234.894,235.4867,36663274
2017-07-11,235.2827,235.6616,234.0099,235.3118,50354614
2017-07-12,236.3903,237.2647,236.3903,237.0801,59610405
2017-07-13,237.0898,237.6048,236.8372,237.4785,39471637
2017-07-14,237.4882,238.9845,237.3716,238.5861,60262692
2017-07-17,238.4987,238.9262,238.3626,238.557,33531917
2017-07-18,238.1003,238.7416,237.7214,238.6833,42742498
2017-07-19,239.033,239.9852,239.0233,239.9755,51034260
2017-07-20,240.2573,240.3933,239.4703,240.0824,47135183
2017-07-21,239.4411,239.8978,239.1885,239.8686,88711019
2017-07-24,239.7812,239.9658,239.2857,239.8103,46622256
2017-07-25,240.6459,240.7625,240.1407,240.3933,54915591
2017-07-26,240.7139,240.7528,240.1115,240.403,47575422
2017-07-27,240.9179,240.9568,238.7027,240.1795,70766568
2017-07-28,239.6452,240.0435,239.1399,239.8978,50088359
2017-07-31,240.3447,240.4516,239.5286,239.7617,65838659
2017-08-01,240.4321,240.471,239.7093,240.2961,55050401
2017-08-02,240.4419,240.5682,239.3731,240.4127,47211216
2017-08-03,240.2864,240.3156,239.6354,239.9463,40855997
2017-08-04,240.4904,240.7528,239.9561,240.3836,60191838
2017-08-07,240.4613,240.8305,240.3447,240.8305,31995021
2017-08-08,240.4807,241.841,239.82,240.2378,61719353
2017-08-09,239.4703,240.2864,239.0719,240.2281,62632619
2017-08-10,239.2954,239.4411,236.7789,236.8372,120479470
2017-08-11,237.0898,237.8477,236.8275,237.187,74869947
2017-08-14,238.6153,239.7812,238.5764,239.5383,73291919
2017-08-15,239.9658,239.9852,239.1691,239.5091,55242746
2017-08-16,240.0921,240.539,239.4508,239.9269,56715544
2017-08-17,239.2468,239.5966,236.1863,236.1863,128490396
2017-08-18,236.0017,237.254,235.3215,235.817,136747986
2017-08-21,235.749,236.2931,234.962,236.0017,65469736
2017-08-22,236.6526,238.6444,236.6332,238.4695,63140101
2017-08-23,237.391,238.0906,237.2259,237.6145,50203837
2017-08-24,238.042,238.2169,236.8275,237.0607,50741671
2017-08-25,237.9449,238.6347,237.4493,237.6145,64445912
2017-08-28,238.2072,238.2363,237.1579,237.6242,40565606
2017-08-29,236.1571,238.1877,236.0308,237.8963,51135715
2017-08-30,237.8768,239.3245,237.6728,239.0233,62030805
2017-08-31,239.7132,240.7333,239.0596,240.4613,103803880
2017-09-01,240.8791,241.2774,240.6362,240.8014,62006989
2017-09-05,240.2378,240.4904,237.9934,239.0719,91398777
2017-09-06,239.8298,240.2573,239.2371,239.8881,57916867
2017-09-07,240.2281,240.2475,239.4023,239.8589,58034730
2017-09-08,239.5383,240.0921,239.3051,239.5771,63832825
2017-09-11,240.9957,242.2199,240.9762,242.1324,71364848
2017-09-12,242.5405,242.9875,242.3365,242.9486,56896027
2017-09-13,242.628,243.104,242.5017,243.0652,59228002
2017-09-14,242.7057,243.2109,242.5114,242.9875,95446349
2017-09-15,242.826,243.4119,242.7089,243.3143,95432382
2017-09-18,243.7244,244.2223,243.4021,243.8318,46235238
2017-09-19,244.1052,244.1735,243.7146,244.0759,47108148
2017-09-20,244.1735,244.2907,243.0506,244.1637,59574083
2017-09-21,243.988,244.0856,243.3094,243.5095,48211398
2017-09-22,243.1776,243.7439,243.1483,243.5584,51214032
2017-09-25,243.2752,243.6689,242.2304,243.0604,57064357
2017-09-26,243.5388,243.8122,242.9383,243.2069,54081959
2017-09-27,243.988,244.5836,243.0018,244.154,81001426
2017-09-28,243.8415,244.5348,243.7439,244.4469,44778841
2017-09-29,244.4371,245.394,244.2321,245.3062,85578002
2017-10-02,245.56,246.3705,245.3673,246.3705,59022985
2017-10-03,246.5072,246.927,246.2826,246.8977,66810169
2017-10-04,246.7317,247.464,246.6048,247.1906,55953619
2017-10-05,247.5617,248.6748,247.2258,248.6553,63522757
2017-10-06,248.1573,248.6951,247.8644,248.3721,80645998
2017-10-09,248.626,248.6943,247.6691,247.962,35803138
2017-10-10,248.5967,249.0361,247.9913,248.6162,43057363
2017-10-11,248.5088,249.0068,248.3233,249.0068,47674325
2017-10-12,248.6553,249.0458,248.3672,248.6358,47065144
2017-10-13,249.124,249.2509,248.6358,248.9384,54800435
2017-10-16,249.1923,249.4852,248.8115,249.2704,38221675
2017-10-17,249.2118,249.495,248.9677,249.4462,31560964
2017-10-18,249.866,249.9149,249.4755,249.6903,40888330
2017-10-19,248.8213,249.7977,248.3526,249.7586,61903788
2017-10-20,250.6472,251.0768,249.7434,251.0475,89176377
2017-10-23,251.4088,251.4381,249.9832,250.0711,63915306
2017-10-24,250.5495,250.7741,250.1101,250.5105,66935910
2017-10-25,250.1394,250.2664,248.0108,249.2704,103715291
2017-10-26,249.9539,250.2566,249.4559,249.5926,69797972
2017-10-27,250.4226,251.8091,249.5979,251.6334,85562544
2017-10-30,251.0085,251.526,250.364,250.696,54285687
2017-10-31,251.1159,251.3697,250.7497,251.0866,60304781
2017-11-01,251.9556,252.3364,251.0085,251.4185,54202736
2017-11-02,251.3404,251.6724,250.1492,251.5162,56449535
2017-11-03,251.6919,252.4047,251.233,252.3559,59589730
2017-11-06,252.2094,252.8929,252.1313,252.7465,49652598
2017-11-07,252.8637,253.2347,252.0044,252.5707,57502161
2017-11-08,252.3754,253.1078,252.063,253.0003,50469579
2017-11-09,251.6529,252.2973,250.3152,252.0825,93981044
2017-11-10,251.6529,252.2022,251.3014,252.0044,59984662
2017-11-13,251.2428,252.4926,251.2037,252.2387,50228648
2017-11-14,251.3404,251.7701,250.4714,251.6529,61315152
2017-11-15,250.5691,251.1549,249.6024,250.3933,80811525
2017-11-16,251.4478,252.932,251.4037,252.5219,67777027
2017-11-17,252.1313,252.4909,251.6919,251.7798,75756833
2017-11-20,252.0532,252.4291,251.7798,252.2094,48075514
2017-11-21,253.0687,254.0646,252.173,253.8596,69176799
2017-11-22,253.8694,254.0158,253.4495,253.635,45033392
2017-11-24,254.1818,254.338,254.0256,254.2209,27856514
2017-11-27,254.2697,254.6017,253.8694,254.0939,52274922
2017-11-28,254.6114,256.701,254.5089,256.6717,98971719
2017-11-29,256.8182,257.4138,256.0175,256.5155,77512102
2017-11-30,257.5407,259.7767,257.4528,258.7612,127894389
2017-12-01,258.5171,259.0542,254.6114,258.2242,164390902
2017-12-04,260.0306,260.509,257.8532,257.9117,94040560
2017-12-05,258.1949,258.8979,256.8377,256.9841,77994544
2017-12-06,256.6717,257.5114,256.5155,257.033,75898566
2017-12-07,256.8865,258.1949,256.74,257.8434,77218569
2017-12-08,258.7417,259.2592,257.8058,259.2494,76563873
2017-12-11,259.3178,260.0989,259.2195,260.0306,83077533
2017-12-12,260.2844,261.0168,260.0648,260.4895,85195750
2017-12-13,260.7629,261.2511,260.3626,260.4602,102905409
2017-12-14,260.7824,260.9191,259.3373,259.3959,100666692
2017-12-15,260.5516,262.0629,260.4436,261.5427,144610290
2017-12-18,263.0638,263.5938,262.9853,263.2012,83653572
2017-12-19,263.4809,263.5251,262.1119,262.1904,82382876
2017-12-20,263.2601,263.3288,261.7194,262.053,76751500
2017-12-21,262.6811,263.3828,262.318,262.5928,67032339
2017-12-22,262.6222,262.6468,261.9255,262.5241,78720873
2017-12-26,262.0727,262.4531,261.9107,262.2101,45244433
2017-12-27,262.3965,262.74,262.0334,262.3376,57750986
2017-12-28,262.897,262.9264,262.4652,262.8774,45116139
2017-12-29,263.5251,263.5447,261.6703,261.8862,96007424
2018-01-02,262.8479,263.7999,262.4161,263.7606,86655749
2018-01-03,263.9471,265.5958,263.9471,265.4289,90070416
2018-01-04,266.1453,267.0874,265.5022,266.5477,80636408
2018-01-05,267.4309,268.4613,266.8813,268.3239,83523995
2018-01-08,268.216,268.9913,267.8921,268.8146,57319192
2018-01-09,269.2857,270.1198,268.9726,269.4231,57253957
2018-01-10,268.5791,269.3053,267.8333,269.0109,69574318
2018-01-11,269.6292,270.9736,269.4427,270.9736,62361455
2018-01-12,271.268,272.9265,270.9362,272.7401,90816076
2018-01-16,274.1434,274.8696,271.0325,271.8078,106555142
2018-01-17,272.848,274.8304,271.8078,274.3986,113258799
2018-01-18,274.271,274.742,273.3878,273.9373,100728006
2018-01-19,274.585,275.1837,273.9373,275.1837,140920098
2018-01-22,274.9481,277.4212,274.8893,277.4212,91322408
2018-01-23,277.4702,278.3338,277.1071,278.01,97084700
2018-01-24,278.7264,279.3937,276.587,277.902,134816117
2018-01-25,278.8638,278.9717,277.1415,278.0198,84587313
2018-01-26,278.9521,281.2863,278.6675,281.2387,107743119
2018-01-29,280.6008,281.0915,279.1974,279.3741,90118337
2018-01-30,277.3328,279.429,275.9786,276.5085,131796419
2018-01-31,277.4604,278.0198,275.4486,276.6459,118948131
2018-02-01,275.8314,277.7843,275.4486,276.3319,90102470
2018-02-02,274.8598,275.007,270.2769,270.3161,173174790
2018-02-05,268.3534,270.7086,258.4024,259.0108,294681816
2018-02-06,255.0952,264.6733,253.8783,264.1139,355026782
